t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
7.179994,12.44315,-10,2.019999,0,4.039998,0,0.5626742,0
7.199994,12.48355,-10,2.019999,0,4.039998,0,0.5611112,0
7.219994,12.52395,-10,2.019999,0,4.039998,0,0.5595569,0
7.239994,12.56435,-10,2.019999,0,4.039998,0,0.5580112,0
7.259994,12.60475,-10,2.019999,0,4.039998,0,0.556474,0
7.279994,12.64515,-10,2.019999,0,4.039998,0,0.5549452,0
7.299994,12.68555,-10,2.019999,0,4.039998,0,0.5534248,0
7.319994,12.72595,-10,2.019999,0,4.039998,0,0.5519127,0
7.339994,12.76635,-10,2.019999,0,4.039998,0,0.5504088,0
7.359994,12.80675,-10,2.019999,0,4.039998,0,0.5489132,0
7.379994,12.84715,-10,2.019999,0,4.039998,0,0.5474256,0
7.399994,12.88755,-10,2.019999,0,4.039998,0,0.5459461,0
7.419994,12.92795,-10,2.019999,0,4.039998,0,0.5444745,0
7.439994,12.96835,-10,2.019999,0,4.039998,0,0.5430109,0
7.459994,13.00875,-10,2.019999,0,4.039998,0,0.5415551,0
7.479994,13.04915,-10,2.019999,0,4.039998,0,0.5401071,0
7.499994,13.08955,-10,2.019999,0,4.039998,0,0.5386668,0
7.519994,13.12995,-10,2.019999,0,4.039998,0,0.5372342,0
7.539994,13.17035,-10,2.019999,0,4.039998,0,0.5358092,0
7.559994,13.21075,-10,2.019999,0,4.039998,0,0.5343916,0
7.579994,13.25115,-10,2.019999,0,4.039998,0,0.5329816,0
7.599994,13.29154,-10,2.019999,0,4.039998,0,0.5315791,0
7.619994,13.33194,-10,2.019999,0,4.039998,0,0.5301839,0
7.639994,13.37234,-10,2.019999,0,4.039998,0,0.528796,0
7.659994,13.41274,-10,2.019999,0,4.039998,0,0.5274153,0
7.679994,13.45314,-10,2.019999,0,4.039998,0,0.5260418,0
7.699994,13.49354,-10,2.019999,0,4.039998,0,0.5246754,0
7.719994,13.53394,-10,2.019999,0,4.039998,0,0.5233162,0
7.739994,13.57434,-10,2.019999,0,4.039998,0,0.521964,0
7.759994,13.61474,-10,2.019999,0,4.039998,0,0.5206187,0
7.779994,13.65514,-10,2.019999,0,4.039998,0,0.5192803,0
7.799994,13.69554,-10,2.019999,0,4.039998,0,0.5179489,0
7.819993,13.73594,-10,2.019999,0,4.039998,0,0.5166242,0
7.839993,13.77634,-10,2.019999,0,4.039998,0,0.5153062,0
7.859993,13.81674,-10,2.019999,0,4.039998,0,0.5139951,0
7.879993,13.85714,-10,2.019999,0,4.039998,0,0.5126905,0
7.899993,13.89754,-10,2.019999,0,4.039998,0,0.5113925,0
7.919993,13.93794,-10,2.019999,0,4.039998,0,0.5101011,0
7.939993,13.97834,-10,2.019999,0,4.039998,0,0.5088162,0
7.959993,14.01874,-10,2.019999,0,4.039998,0,0.5075378,0
7.979993,14.05914,-10,2.019999,0,4.039998,0,0.5062658,0
7.999993,14.09954,-10,2.019999,0,4.039998,0,0.5050001,0
