t,x(t),v(t),p(t),F(t)
29.74049,-17.62143,-1.065,-2.13,-0.07161952
29.76049,-17.64273,-1.065,-2.13,-0.07157139
29.78049,-17.66403,-1.065,-2.13,-0.07152332
29.80049,-17.68533,-1.065,-2.13,-0.07147532
29.82049,-17.70663,-1.065,-2.13,-0.07142738
29.84049,-17.72793,-1.065,-2.13,-0.07137951
29.86049,-17.74923,-1.065,-2.13,-0.07133169
29.88049,-17.77053,-1.065,-2.13,-0.07128395
29.90049,-17.79183,-1.065,-2.13,-0.07123627
29.92049,-17.81313,-1.065,-2.13,-0.07118865
29.94049,-17.83443,-1.065,-2.13,-0.07114109
29.96049,-17.85573,-1.065,-2.13,-0.0710936
29.9805,-17.87703,-1.065,-2.13,-0.07104618
30.0005,-17.89833,-1.065,-2.13,-0.07099882
30.0205,-17.91963,-1.065,-2.13,-0.07095151
30.0405,-17.94093,-1.065,-2.13,-0.07090428
30.0605,-17.96223,-1.065,-2.13,-0.0708571
30.0805,-17.98353,-1.065,-2.13,-0.07080999
30.1005,-18.00483,-1.065,-2.13,-0.07076294
30.1205,-18.02613,-1.065,-2.13,-0.07071595
30.1405,-18.04743,-1.065,-2.13,-0.07066903
30.1605,-18.06873,-1.065,-2.13,-0.07062216
30.1805,-18.09003,-1.065,-2.13,-0.07057536
30.2005,-18.11133,-1.065,-2.13,-0.07052862
